#Accession	NCBI-taxid (-1 = withdrawn)
1725041	35254
14013134	1127514
16881018	1327971
5625646	260120
14857939	38767
4484234	315953
15312040	536444
16194946	1283071
3416197	115991
921190	10397
5659747	380598
3260349	238854
14697464	1273739
11541504	1109712
16193473	1273746
5602036	388452
6920817	546805
16187360	1195068
10228732	979533
13826709	1204524
13993667	1141135
2979147	256729
920897	35241
5076554	322855
14016834	1217810
7804588	307467
14296931	1235689
1260465	148943
10987370	36403
11541529	1109712
16796699	1327974
6128906	424716
10329604	445688
10228495	979525
7055780	263892
14340126	101850
3431537	320432
14006856	942016
16548033	1340826
935524	188763
16214430	1327775
9829343	10353
10326667	444860
6803915	552525
932148	10273
13165262	1049283
14016705	1161935
15088797	1286141
5176978	326574
15312207	536474
16512531	1349409
940292	79700
15486132	994672
15312426	573174
940397	79700
4606068	416419
16151490	1262530
3238941	39640
10511670	753084
8673568	693582
8683403	674081
16791278	909210
5130550	349563
14296084	685892
1262954	129009
2636262	10677
10327398	444859
7056789	559170
922068	51313
10327187	445683
1258853	197783
14536682	33706
15009935	756282
5076865	413066
11605483	1105171
11541263	1109713
14675502	1087482
16796846	1327977
9711325	871584
5075678	10752
5602312	448384
11468017	1714272
955294	10724
13828202	1604355
1497090	32604
5204396	414970
15012473	754046
3772949	12336
16045441	754039
5228384	376852
3654758	181082
10323031	279006
15010215	754067
955678	175950
13828888	1235661
9797272	878329
5176377	1307956
1442265	51677
6998163	559189
13165274	1049283
11107066	252584
14039014	1261657
11537316	1124849
11605240	756275
11266425	180230
15766263	251749
2943201	104581
14543349	1235314
10618961	1026955
911791	35252
16214669	1327777
11605316	756275
5797454	451705
3294308	268746
3989575	242861
3582049	279530
1494319	12353
14006401	483266
4306173	113370
2717108	139870
2777652	10726
2949743	45455
2741798	248496
955869	106331
10020134	880162
17503310	434346
7070060	491893
11117711	593131
14010811	1190451
4818467	423476
14006895	37105
16045248	754038
15013657	382262
14515297	1116482
10323039	279006
5132659	292029
3882098	85454
10618638	1032362
11541247	1109717
3890623	28288
15383018	1324794
5133177	320841
14011272	317858
16212570	1325953
11536084	994601
16511660	1325731
15012424	754046
6446552	51330
13826668	1204524
12980166	1129194
15013104	754041
5656056	300186
14444800	1262513
7956375	644007
13828364	1126950
2741810	256994
940401	79700
1446422	60714
16193633	1273747
5133166	320840
16546623	1340830
14012086	1141519
10358615	59241
4156069	342564
14443563	111167
5179260	365048
9861516	879630
17494398	1357825
14515704	1236000
16548212	1383052
5666466	442493
921742	49964
16194258	1273750
3293869	10366
7871747	111874
9742375	884200
4238699	28871
2947852	129727
15012642	754058
1733413	176652
15013515	536466
2637475	172667
16547968	1381464
11464265	1535247
11605088	1100790
15042029	547228
10172642	190065
1497390	36363
13826610	1237159
1260249	205880
14536630	33706
2559618	242861
5176379	1307956
5950964	379529
10327850	444862
984332	161736
10963729	68347
14013116	1147094
11258022	889338
11536491	1128424
5309189	446529
932224	12431
3608117	332032
1486928	10271
16546349	1357669
14012563	1127515
9398019	762905
16194219	1273750
14181754	1229755
16187303	1173743
16186413	1007869
3021985	285013
935429	10640
15010119	754075
15383003	1324794
15013338	616674
6870717	551790
1260502	148943
5309170	446529
6803910	552525
8303474	555387
5220120	393598
16212554	1325953
1461054	12657
8672861	670252
6804861	39420
4960807	432587
956068	194802
16207397	1316739
940341	79700
1725445	50948
2943309	227507
962675	12327
3725996	348137
7070062	491893
6989703	504346
1463404	170617
944343	103442
15041496	1198014
7871817	641487
2559644	244589
2943842	74660
5075986	201862
10324353	910475
14543327	1235314
15042095	547228
2952535	10345
4157034	373406
5179594	419435
5839494	139871
15012304	756280
15041072	1245814
16194011	1273749
16045195	754038
1450414	85618
1488885	10497
12979925	1162295
1489151	225725
11294715	331278
5839503	139871
16547311	1340709
16414358	1301279
4158034	373415
15550193	172861
11107271	1076255
14297633	1188794
16194231	1273750
15011166	754042
6450083	543153
15010785	754052
13405861	1161906
14182229	1147155
13995319	1211640
3882112	352882
1260358	181007
5176345	1307956
5845776	1785753
6804815	39420
3293926	10366
15009889	754048
11536281	700512
4484297	332032
14543345	1235314
16797468	1327990
6904138	459291
13663314	1231903
5220413	12348
1461077	12657
14517136	1154689
14012823	1147094
10987436	549205
1261712	77048
2886022	209854
14013344	1150989
10021276	700939
5745532	384848
3077498	10359
5130424	55510
14477269	1262528
1497432	1671798
918689	132475
5076178	260797
14182112	1147144
14515679	1236000
8672862	670252
4818316	417280
16880990	1327971
12977885	84739
10894600	943335
16185614	929833
3342344	279383
16182883	1335638
8676479	673837
11187354	1513269
956051	194802
14008147	1124578
13995842	1211643
6964573	560178
3890560	28288
3974307	31508
16194957	1283071
8676322	663554
4157186	373408
7755624	1511882
911830	186538
5469994	399781
15041552	1298531
940191	45237
5666480	442493
5141243	85655
16548152	1383056
7565061	624134
6492631	526118
10322513	981330
10322956	669008
14697586	1283079
922222	46242
11107092	252584
15010790	754052
2743992	77775
5845593	1785753
14515699	1236000
13827361	1204525
11107252	1076255
14017258	941969
3239083	10386
10359172	857312
11107172	1076255
16511712	1325731
5176029	10455
951420	157899
17494475	424949
11294825	331278
5798001	346884
921139	10397
6128893	424716
4836011	694006
6804877	39420
6450033	543153
15614124	1293540
14011436	317878
920630	37665
3964415	373126
1487435	10325
14011583	1136534
14340157	101850
912225	98383
16797478	1327990
10020224	880162
11293533	1513237
1259066	205868
14010484	1051676
5601835	330398
16901006	1340534
8207405	658401
6779539	551895
10326913	444860
1682480	10381
1487112	10280
17426947	1385427
1261019	46014
5469902	399781
11294578	1108070
935425	10640
1262074	72638
5076792	370623
5176730	273133
11605259	756275
7262061	578234
2952542	10345
2943621	38804
14697510	1283078
2769192	235266
6276363	205899
935317	180170
7047190	92521
5076816	379892
14007146	947980
5912337	499235
920594	37665
1487149	10280
1487957	32603
3837285	344022
991163	36772
15011784	929832
16194660	1273755
922151	46242
9925848	762660
2657348	244310
16797136	1327983
962686	12331
5845646	1785753
14444841	1262513
15012797	755272
14296768	1206557
1262766	127507
10020606	880161
1261493	66797
10351488	867696
14182417	1147158
14013179	1127514
16901016	1340534
11029896	75888
15152057	1213588
15614060	1293540
5179576	419435
13564490	1196237
16194025	1273749
2947677	10258
5758841	469660
3238838	39640
14297566	947843
15311821	573173
7057173	566270
5656101	300186
920032	148363
940379	79700
10110366	573615
14014007	1150990
1489778	11191
5660215	380598
949209	43240
2715909	10719
2657008	50294
4484480	340435
8763930	36355
5130335	55510
10323661	260149
921146	10397
10323745	864178
15613318	10288
10020079	880159
13826839	1204539
7755270	634168
10511637	753084
1260420	148943
14697313	1168281
15010176	754075
16881050	1327971
16194903	1283071
1259265	205870
9086698	754004
3726130	146269
932717	151528
922375	40521
14296695	1206557
13997593	1141138
10897023	981323
5659085	46021
15613656	1293572
16185743	929835
1257738	198538
11107053	252584
11536673	764595
10399539	764562
13995025	1211640
11605037	1129145
2943344	249151
3952995	343516
10358696	582345
10511785	562742
956352	104580
962121	12294
912172	98383
8462932	642926
8658531	10334
16880958	1327970
6147537	460926
10323877	910473
16575260	1340818
11107080	252584
16193357	1262532
14016704	1161935
12979135	1114179
6492586	526118
13828536	1150869
5130572	382685
14007439	947981
11605270	756275
11447616	1100814
15766302	251749
14010827	1190451
10328580	445686
4525367	307240
2703457	10298
15926752	115992
16207375	1316739
10020384	880161
16797166	1327983
1262904	31535
14005415	1079999
5142170	379891
963879	134554
956014	120574
10894593	943335
2717131	139872
5141805	328615
12978582	1112008
8207492	658401
14182211	1147155
4363459	1285600
4156317	345201
16045702	754066
2777896	255431
1488881	10497
7901792	520973
6369735	482058
14536636	33706
16193941	1273749
5076352	265522
5076478	300740
15312214	536474
6370001	482058
9384631	697227
16191489	1235824
918750	145579
3238761	39640
932232	12433
6870711	551790
10987371	36403
16511789	1349409
5176984	326574
993374	59817
6450055	543153
