#Accession	NCBI-taxid (-1 = withdrawn)
71276544	155919
124506384	36329
484022317	1246461
486554297	1157360
448286272	469382
149247734	379508
489567872	1308866
483985386	1232674
489567563	1308866
409989061	634502
483959060	1136162
484233179	1120973
545401909	411472
443318766	1173264
558544127	1352936
483959539	238241
485707746	1074056
311748833	420336
470957326	1266070
123432956	412133
154336572	420245
491504690	1268237
484178651	1190603
483493813	1227361
485599949	1079985
483245075	1123244
408905736	1167637
421590615	1223565
448106326	559304
407782943	1207063
564017109	1352929
486400027	1121028
242823022	441959
507052947	1053242
392957934	1196324
303390704	876142
490774186	1264675
221055781	5851
520880136	1273103
296146638	559292
484227420	1041151
444311409	1234597
198441486	558269
223958582	469598
154292659	332648
448431301	1227485
483593062	1123311
315051207	535722
154341664	420245
485043706	1051075
372136942	1042375
134301160	411901
563038881	1287292
448416277	1227487
490813628	1217671
483998076	1009420
483663650	1123320
167386433	370354
295397608	655812
261187599	559298
490490294	1234382
484030466	1169179
483705371	1123400
389574504	1177926
359437531	383911
349611301	665946
545115038	1388764
484866644	1073567
551351119	1121015
359793818	1107882
398887235	1144334
211594581	367336
126659951	391612
483988348	391967
484225343	1157681
375311169	1050222
333123309	927694
484085049	1177117
365817109	1097667
149376484	443152
484182708	1240726
483832636	940282
484176906	1179226
484337388	493915
332528084	987059
483316236	1038866
485070289	1122919
452216252	754327
544815566	1121405
46116201	229533
488009902	1282886
85101502	367110
422606764	629261
514357468	1193011
386388698	1095743
260771100	675811
484007676	1245472
545088960	1384040
444380924	1035193
485070207	1122919
483302009	1231057
510897726	1292024
484052855	1239292
544835051	1348657
442859563	1141661
485222838	1030842
149377951	443152
377560213	1108044
554770949	592010
448327024	797304
483959020	1155716
484120728	95614
484344897	1161101
307563194	573061
156097938	126793
115386517	341663
483417234	1121910
68061152	5823
485061876	1217722
336237269	1423822
262405036	469588
484341015	1200775
499153130	1121342
133742032	360117
190679508	526950
163804801	214688
374604954	1131935
485040738	911130
149198669	313628
118401643	312017
346681643	742765
550891872	1121004
377556132	1144300
485048622	1196028
448383350	1227489
484198085	938624
254568925	644223
448331398	1227496
72387008	185431
557306908	994573
483236020	1121363
319947918	910954
383821358	1150599
302886774	660122
551245205	1123488
499136758	1269942
300813519	768724
374443167	1069536
484074586	1123226
424775842	1069631
296120265	685035
483959456	238241
485099425	1122139
224534963	498742
269859279	481877
483959029	1136162
564213363	1391994
378760282	1077285
119472329	156578
302923355	660122
476522481	1280936
514231945	1235835
513042719	856854
484251123	1185669
399579085	590061
483594376	1088543
348166724	940284
484342884	260742
359793227	1107882
564592762	863365
302927284	660122
169343352	445334
255714377	559295
350268398	693746
486829450	1158598
406839527	450821
145246827	425011
171678658	515849
357023689	1082933
156050758	665079
485467302	1078013
348166695	940284
483995583	1122218
255721754	294747
315052627	535722
242216863	561896
484186099	626086
261196815	559298
558557251	1328863
484033276	1248917
498823302	1286307
366996604	1064592
359430065	1071390
145501463	412030
484042977	304767
545331522	1227262
490901417	1144668
50548166	284591
563166956	1287240
399017294	1144319
421843794	1006003
255939983	500485
484200007	617140
448470571	1230456
50426848	284592
218291481	543302
290976859	744533
487379561	1172187
406663363	1225176
149909573	58051
302415822	526221
484028628	1234362
70993083	330879
485052355	1210443
448731774	1227456
501067939	1312922
508519083	1321368
562949590	1287336
484133039	95607
374535027	717227
15601865	272843
209525744	513049
419963312	1129896
484033921	1194165
487381522	1172186
523648218	1218600
317159433	510516
86138725	314262
484076548	98439
307254022	754258
241765117	573060
499133670	1313264
333981743	927655
485471901	1073571
302892492	660122
470884791	1263870
484016841	1246445
545387261	1227266
145491024	412030
238577666	554373
395652979	1112211
282855693	352165
483985953	1120950
484074956	306281
163804196	214688
282856680	352165
484200250	857041
511675437	1256206
483850562	940285
294664366	427082
483257132	1229517
486352542	939390
484206280	1041149
429090691	1208656
334363765	878320
295426052	585524
223997547	296543
389776319	1163407
107869004	284813
484014458	1245476
484343514	1200345
482849777	1177185
556695273	1203578
445063143	1287056
415967039	872330
294670003	546263
170086783	486041
545086471	1384040
237643350	566550
482980406	936350
302666750	663202
307128504	706194
406839638	1136166
315041700	535722
333123275	927694
118593906	384765
512711506	1203603
490756246	1292034
510815379	1169414
522837235	1244140
238789944	349966
367032579	573729
550709650	1387231
514231953	1235835
523681097	1284834
484021649	1246460
485040399	1051075
395009603	1144317
458913768	1244869
294663734	427082
448293295	309800
484104952	1262650
483400773	1121910
544689540	1123237
484106455	1163065
484075828	1123236
420251518	1144309
485022543	1087053
398838283	1144321
511767796	1201036
487370262	1266923
444323548	1071380
545026416	1151368
484228444	1123388
520880082	1273103
484198558	1191304
373456208	742743
331007917	937772
552948014	1389415
484081998	1121378
383817597	932213
564865026	1414851
522835809	1260358
416178323	935587
237832914	508771
407976654	1231190
520811706	911241
551232364	1123373
359426238	1075090
254569749	644223
484222035	1206097
255953894	500485
329912071	937450
460098621	1054862
146422484	294746
395221579	1144253
352104965	550984
472319055	1165094
399028579	1144313
484106021	1124780
399026235	1144316
485067765	1221300
406581037	1169668
416010456	872330
359431833	388384
551197438	1121957
490270817	1191305
346681625	742765
345866651	1046627
363895811	796937
484203323	938663
429202298	698759
484094690	317619
347599333	565443
551033879	1280666
229491113	596309
484228946	1157680
296414572	656061
486330980	1132855
551018245	1280670
483257010	1229517
485455423	1038929
95930188	281689
490562771	1188240
415976617	872330
241765013	573060
544828913	1114964
544737142	1234871
483974031	1155718
420146557	1185325
420212802	979219
485027414	1087053
94267759	262489
339304245	935294
223667571	411462
484139677	1216007
484227704	1122971
363895820	796937
408543620	1134445
484122685	564420
294669173	546263
319430502	658089
386388387	1114943
251833090	1423814
484320906	1197706
550094715	1123057
262408464	469588
483033237	1131289
402301863	1123865
452230113	754332
543941698	1117318
560254208	1396518
237757099	432331
483464011	1122611
551048503	1123500
401428992	929439
302507833	663331
288916814	102897
384918077	766499
302909355	660122
402492146	1132836
545328379	1227261
325832129	910311
486859689	1158608
295657219	502779
197120421	447217
395228075	1173691
424850566	543736
121536065	401526
551065841	1121105
301057142	88274
544862035	1353530
551313674	877418
484105501	1134413
332188096	1007104
470091602	1263868
482909940	1212819
545444408	411473
374606305	1131935
483366395	1121129
550892761	1121004
67594844	353151
389736334	1162282
398842313	1144321
444381410	1127691
294505815	761659
255937056	500485
490270019	1255307
58267857	214684
357632076	1030157
224514813	411485
485044379	1203257
490549496	1188236
423525355	1053206
347738222	1003237
50291052	284593
378759063	1074493
367031491	573729
115350056	339670
486855292	1158607
486205636	928729
390451049	1189611
470027065	1085540
511645570	1256197
407769435	1123366
483995307	1122605
330846681	5786
484175106	1179224
190673220	526950
484190799	1187848
483166691	1131283
493190525	437663
397905622	857293
119493766	313612
389737122	1162282
485061000	1217720
383938962	1095734
355707384	450748
485091283	1279015
366997868	1071381
390566350	1129897
484084663	1265495
348166701	940284
477579380	1246476
550981957	570952
448462769	1230456
46102637	229533
420244560	1144310
398880614	1144335
485222639	1030842
391324026	766154
315039922	535722
490172427	97139
107887304	284813
68467029	237561
410721397	1220534
149204448	391613
383817776	1150599
544668535	1123360
551026792	1280683
390993688	1087479
484341522	1200775
67526638	227321
50552807	284591
339303698	935295
483422080	1122176
72390717	185431
523639111	1218565
557372250	1324957
334135110	944559
511623391	1298855
484151744	1292048
483398400	1214063
501081026	1312922
484011681	1169182
399579585	1008457
421602739	1223566
545330705	1321817
78355047	207559
486195225	928729
443324125	102125
339065328	434085
331640221	658088
487373016	1009412
224485463	457388
386382948	1114943
484063545	1122989
417964734	1054945
209953765	520999
418294448	32042
553736654	1385935
490713348	1227924
551322431	1278302
224993790	622312
397737808	745408
410093179	450396
225001211	471875
420156155	1105031
365845951	411475
121535864	401526
365988275	1071378
523688742	1334627
485099460	1122181
303232350	866774
485038594	903507
390444399	1189621
229523463	593585
365922889	797473
489522976	1306409
145523020	412030
190642655	526946
397319973	997884
484325427	1197720
238610344	554373
254569447	644223
483992396	562743
145233534	425011
484200199	857041
301324021	673198
359430885	1071390
557313572	994573
560463399	1388763
564883707	1415162
483465783	1122611
443310287	927677
288923623	102897
459826833	1073353
485222652	1030842
499151715	1315976
551242945	1121364
422611890	629262
403252782	1157949
336237264	1423822
491915754	1265309
484082047	1162286
167346183	498736
224515321	518637
219125279	556484
437514457	984220
255730144	294747
448495819	1227465
445061836	1287056
261195774	559298
163800684	314289
483893869	1048261
484185725	1248412
293397571	667129
485046158	194867
209527895	513049
325830703	910311
483959272	1136162
384096976	469586
317512469	682181
118367219	5911
393726590	859192
485061591	1217721
149917356	391625
485041827	933267
485452805	995087
484042149	1205681
398940656	1144708
404417038	1212545
484234841	1123309
82595329	352914
483198212	1131282
523647903	1218600
485458860	1072576
331001612	762966
523701762	1346790
544621572	1238427
487368204	1169144
303234811	866773
406663945	1225176
490789718	1217715
417955455	675816
357025379	1082933
484201284	913328
303388402	876142
448442020	1227484
302495930	663331
114330036	335283
420256364	1144309
331001607	762966
514399026	1049973
563146224	1287252
545134104	1125725
484101022	1134914
452743284	1214225
237643017	566550
363749986	931890
484154053	1288484
544788297	1234889
402295497	981223
545391092	649724
